aX,aY,aZ,gX,gY,gZ
-0.085,0.024,0.864,18.738,21.667,-2.930
-0.106,-0.002,0.940,29.175,41.687,-0.183
-0.078,-0.014,0.991,34.119,58.472,1.892
-0.017,-0.039,1.001,34.058,67.383,3.662
0.068,-0.052,0.983,29.053,70.190,4.944
0.124,-0.052,0.942,20.996,67.017,6.348
0.093,-0.030,0.902,13.733,57.739,7.263
0.037,-0.009,0.853,10.010,47.058,7.080
0.017,-0.007,0.799,9.521,39.612,5.676
0.026,-0.004,0.742,10.620,33.936,3.784
0.042,0.001,0.687,13.306,28.503,1.282
0.036,-0.006,0.641,17.578,23.682,0.244
0.024,-0.021,0.615,22.583,23.010,0.488
0.044,-0.035,0.623,28.381,25.452,1.404
0.078,-0.042,0.629,33.752,23.987,2.502
0.113,-0.046,0.618,35.156,18.616,4.639
0.123,-0.048,0.590,31.128,14.160,6.958
0.092,-0.030,0.553,22.400,11.902,8.362
0.065,-0.024,0.516,13.184,12.146,8.362
0.051,-0.025,0.502,5.005,13.489,6.897
0.055,-0.031,0.492,-2.319,14.038,4.700
0.055,-0.039,0.478,-7.629,11.292,1.648
0.049,-0.051,0.458,-9.399,7.568,-1.099
0.058,-0.054,0.454,-6.958,6.042,-3.601
0.079,-0.059,0.466,-1.892,7.629,-5.615
0.111,-0.062,0.487,4.089,11.414,-6.714
0.158,-0.066,0.527,9.521,15.137,-7.080
0.164,-0.053,0.552,11.658,15.442,-7.263
0.127,-0.028,0.566,9.766,13.672,-6.592
0.098,-0.016,0.547,6.165,13.611,-6.165
0.094,-0.013,0.520,3.052,15.320,-5.493
0.110,-0.021,0.480,1.648,17.395,-4.272
0.108,-0.034,0.441,3.052,21.545,-2.808
0.103,-0.051,0.423,7.385,28.259,-1.404
0.111,-0.069,0.421,12.573,34.363,-0.671
0.103,-0.080,0.424,16.602,38.147,0.061
0.108,-0.103,0.440,19.592,41.077,0.122
0.141,-0.121,0.470,20.447,43.457,-0.244
0.167,-0.128,0.488,18.616,40.100,-1.038
0.169,-0.117,0.489,15.320,31.189,-1.831
0.156,-0.102,0.467,11.902,19.165,-3.052
0.142,-0.079,0.444,9.705,5.859,-4.395
0.139,-0.066,0.442,9.155,-6.592,-5.310
0.139,-0.058,0.453,10.132,-16.479,-5.554
0.152,-0.067,0.466,10.559,-22.461,-4.944
0.164,-0.072,0.485,9.583,-24.475,-4.333
0.158,-0.080,0.521,7.080,-23.682,-3.418
0.157,-0.088,0.565,3.479,-21.118,-2.258
0.153,-0.097,0.591,-0.183,-17.761,-1.526
0.145,-0.114,0.601,-2.869,-13.367,-0.061
0.143,-0.109,0.630,-4.272,-11.902,1.526
0.105,-0.089,0.635,-5.371,-15.869,2.625
0.076,-0.073,0.635,-5.066,-21.362,2.869
0.059,-0.056,0.642,-4.639,-26.489,2.197
0.060,-0.053,0.668,-3.357,-29.724,0.610
0.061,-0.054,0.676,-1.648,-28.992,-0.427
0.062,-0.061,0.687,1.465,-26.855,-0.732
0.075,-0.079,0.693,5.615,-26.855,-1.099
0.069,-0.105,0.708,9.766,-28.259,-1.831
0.055,-0.118,0.717,12.756,-27.161,-2.441
0.048,-0.112,0.722,15.137,-23.315,-3.540
0.050,-0.100,0.719,18.066,-20.203,-4.456
0.045,-0.087,0.731,22.095,-18.860,-5.310
0.030,-0.077,0.775,25.757,-15.015,-6.409
0.055,-0.078,0.821,26.367,-8.057,-7.141
0.110,-0.079,0.886,21.729,-4.272,-7.446
0.122,-0.093,0.921,12.512,-6.409,-7.141
0.120,-0.117,0.930,0.671,-10.315,-7.019
0.137,-0.139,0.899,-12.024,-12.817,-6.836
0.163,-0.145,0.862,-22.949,-15.869,-6.165
0.147,-0.152,0.815,-28.442,-23.804,-6.470
0.120,-0.138,0.778,-26.306,-34.485,-8.057
0.071,-0.100,0.771,-16.052,-43.823,-10.620
0.018,-0.063,0.792,-1.038,-49.500,-13.550
-0.027,-0.041,0.819,13.794,-48.950,-15.930
-0.042,-0.044,0.879,23.682,-41.077,-16.907
-0.020,-0.064,0.950,23.743,-27.771,-15.747
0.040,-0.099,1.016,14.221,-13.245,-12.268
0.082,-0.150,1.072,-1.282,-2.075,-7.324
0.099,-0.181,1.124,-19.409,6.104,-2.197
0.122,-0.194,1.179,-36.255,11.780,1.587
0.132,-0.147,1.199,-46.326,12.451,3.357
0.094,-0.078,1.162,-42.725,8.057,2.563
0.033,-0.023,1.102,-24.475,1.465,1.099
-0.010,-0.000,1.031,1.465,-5.188,-2.319
-0.026,-0.006,1.002,28.137,-8.972,-5.920
-0.013,-0.038,1.001,47.119,-6.348,-10.437
0.038,-0.086,0.995,54.993,1.526,-12.390
0.083,-0.142,1.041,52.917,9.888,-11.597
0.159,-0.202,1.146,43.335,12.634,-9.338
0.143,-0.244,1.217,27.100,10.681,-5.676
0.180,-0.287,1.282,8.240,14.343,-1.831
0.182,-0.227,1.297,-7.019,13.916,-1.587
0.163,-0.179,1.298,-12.207,3.845,-1.526
0.117,-0.148,1.273,-5.371,-9.644,-2.747
0.094,-0.138,1.267,8.545,-19.287,-5.737
0.100,-0.146,1.258,21.729,-24.963,-9.521
0.098,-0.172,1.269,26.978,-27.100,-10.925
0.108,-0.213,1.291,21.667,-27.283,-10.864
0.125,-0.230,1.303,7.812,-27.466,-10.376
0.124,-0.239,1.372,-9.460,-24.780,-8.606
0.103,-0.238,1.442,-25.085,-19.836,-6.714
0.108,-0.244,1.477,-36.804,-14.954,-5.310
0.136,-0.209,1.522,-41.870,-9.888,-5.066
0.165,-0.180,1.561,-38.940,-8.423,-5.676
0.177,-0.174,1.590,-29.297,-9.094,-5.859
0.184,-0.156,1.598,-18.433,-8.850,-5.066
0.178,-0.174,1.584,-9.766,-7.263,-3.174
0.171,-0.193,1.565,-6.287,-4.272,-0.854
0.170,-0.191,1.525,-8.179,-2.625,0.488
0.172,-0.184,1.482,-12.878,-3.540,2.075
0.177,-0.186,1.451,-17.944,-5.676,3.662
0.174,-0.175,1.421,-23.193,-8.545,4.700
0.152,-0.165,1.386,-27.466,-11.475,5.493
0.135,-0.154,1.358,-30.457,-12.634,5.371
0.122,-0.128,1.329,-31.555,-10.925,5.188
0.108,-0.116,1.290,-30.151,-8.301,5.432
0.106,-0.100,1.253,-27.527,-5.615,4.822
0.116,-0.088,1.225,-24.719,-2.808,4.639
0.134,-0.086,1.227,-22.522,-0.305,4.822
0.134,-0.080,1.243,-21.118,0.244,5.310
0.132,-0.069,1.250,-19.653,-1.892,5.188
0.133,-0.074,1.253,-17.822,-4.395,5.676
0.145,-0.086,1.262,-16.113,-7.263,6.042
0.153,-0.093,1.266,-15.808,-10.437,6.592
0.161,-0.090,1.269,-15.930,-12.756,7.080
0.164,-0.078,1.295,-15.381,-14.282,7.996
0.152,-0.066,1.327,-12.817,-14.954,9.155
0.131,-0.052,1.350,-8.057,-13.550,10.071
0.104,-0.047,1.350,-0.732,-10.010,10.864
0.100,-0.064,1.342,7.141,-5.005,11.353
0.113,-0.095,1.307,12.146,0.183,10.559
0.118,-0.115,1.269,11.841,1.648,8.911
0.114,-0.114,1.255,6.165,-0.488,7.629
0.104,-0.101,1.253,-2.380,-2.380,7.080
0.104,-0.095,1.270,-10.010,-2.686,6.531
0.087,-0.090,1.289,-15.259,-2.747,5.310
0.059,-0.069,1.309,-18.738,-4.822,4.639
0.031,-0.042,1.309,-18.677,-9.583,4.028
-0.008,-0.027,1.297,-14.526,-15.381,3.357
-0.024,-0.018,1.280,-6.836,-16.541,3.906
-0.034,-0.016,1.255,2.502,-10.376,5.249
