aX,aY,aZ,gX,gY,gZ
-2.364,-1.389,1.043,3.967,28.625,-133.972
-2.911,-1.272,0.984,15.991,-41.809,-108.521
-3.462,-1.183,0.828,24.475,-62.012,-79.285
-4.000,-0.806,1.066,9.216,-8.179,-12.329
-4.000,-0.479,1.274,4.333,19.409,29.236
-4.000,-0.139,1.290,19.287,32.471,76.904
-4.000,0.230,1.114,45.288,25.085,125.610
-3.983,0.630,0.776,65.002,-0.977,168.640
-3.687,0.972,0.484,67.993,-32.532,204.590
-3.306,1.412,0.287,54.871,-44.312,234.680
-2.819,1.884,0.180,36.682,-33.203,264.282
-2.300,2.332,0.121,18.799,-24.597,291.809
-1.822,2.710,0.258,-0.610,-24.414,311.340
-1.368,3.003,0.553,-23.560,-28.137,320.923
-0.885,3.286,0.709,-34.973,-32.776,324.585
-0.472,3.403,0.848,-26.367,-42.542,321.411
-0.111,3.389,1.027,-21.057,-61.157,309.937
0.149,3.334,1.122,-23.010,-84.473,292.175
0.315,3.177,1.058,-16.785,-103.577,270.386
0.483,2.952,0.934,-7.568,-111.511,249.573
0.868,2.827,0.992,-10.315,-110.535,233.521
1.424,2.733,1.215,-21.545,-110.046,215.637
1.841,2.610,1.493,-23.987,-120.422,186.035
2.295,2.414,1.780,-18.982,-130.737,148.560
2.737,2.273,2.006,-12.817,-130.737,108.093
3.084,2.101,2.166,-2.808,-125.671,62.317
3.301,1.915,2.204,7.690,-113.953,9.644
3.359,1.736,2.132,16.602,-89.600,-42.847
3.220,1.532,2.022,19.958,-54.810,-96.436
3.016,1.353,1.962,20.081,-14.343,-146.667
2.783,1.128,1.980,19.104,20.386,-195.129
2.463,0.896,2.016,16.907,41.016,-240.540
2.100,0.776,1.962,16.418,56.030,-277.710
1.763,0.625,1.839,21.423,70.435,-303.223
1.462,0.345,1.693,28.931,75.073,-323.914
1.075,-0.009,1.560,33.630,60.730,-341.614
0.690,-0.496,1.502,36.621,38.452,-351.562
0.333,-0.952,1.442,41.443,28.076,-352.539
-0.064,-1.332,1.252,49.377,31.128,-347.473
-0.654,-1.655,0.947,54.382,43.762,-336.975
-1.202,-1.890,0.720,50.415,70.984,-313.416
-1.590,-2.061,0.741,33.875,106.812,-278.564
-1.774,-2.083,0.888,4.211,132.629,-239.807
-1.747,-1.960,1.157,-24.597,142.090,-203.125
-1.674,-1.757,1.443,-35.522,137.878,-171.326
-1.749,-1.573,1.551,-19.348,113.281,-145.874
-1.995,-1.499,1.535,8.667,65.552,-128.052
-2.270,-1.394,1.193,32.166,23.621,-112.061
-2.682,-1.264,0.769,48.096,12.207,-94.116
-2.992,-1.087,0.530,47.791,26.794,-71.594
-3.291,-0.907,0.489,33.875,44.128,-46.570
-3.557,-0.668,0.813,17.273,61.218,-19.653
-3.743,-0.409,1.199,12.329,67.322,11.597
-3.836,-0.142,1.202,35.461,56.519,51.636
