aX,aY,aZ,gX,gY,gZ
-0.262,0.880,-3.312,196.533,96.558,27.466
-0.213,0.795,-3.717,160.889,74.219,19.958
-0.150,0.760,-3.948,109.985,44.312,9.888
-0.092,0.739,-4.000,58.594,-2.380,-1.709
-0.184,0.735,-4.000,14.709,-70.740,-15.991
-0.256,0.703,-4.000,-26.428,-135.010,-26.062
-0.320,0.695,-4.000,-72.327,-175.049,-24.841
-0.427,0.758,-4.000,-121.826,-181.030,-17.639
-0.503,0.874,-3.713,-180.786,-159.058,-10.010
-0.664,1.014,-3.256,-232.117,-137.207,-3.723
-0.919,1.170,-2.847,-264.526,-132.324,0.244
-1.220,1.330,-2.457,-290.894,-150.696,1.587
-1.518,1.469,-2.088,-314.026,-183.350,1.465
-1.726,1.653,-1.718,-334.778,-209.595,5.554
-1.909,1.818,-1.180,-355.652,-231.384,11.292
-1.975,1.995,-0.416,-378.601,-249.207,15.503
-2.007,2.144,0.583,-398.682,-245.667,20.935
-1.940,2.247,1.759,-411.255,-224.426,26.489
-1.759,2.204,2.957,-406.738,-203.125,33.142
-1.586,2.088,3.885,-379.761,-197.388,35.217
-1.472,1.928,4.000,-334.290,-203.491,34.668
-1.344,1.802,4.000,-290.649,-208.557,37.476
-0.920,1.676,4.000,-261.414,-203.796,46.265
-0.433,1.564,4.000,-235.168,-181.213,53.589
0.037,1.433,4.000,-198.608,-144.043,55.908
0.331,1.307,4.000,-147.278,-110.596,53.772
0.655,1.134,4.000,-98.755,-85.571,50.720
1.039,1.030,4.000,-60.364,-57.678,46.753
1.228,0.953,4.000,-19.470,-28.625,37.354
1.227,0.901,4.000,18.372,-4.639,21.057
1.241,0.879,4.000,44.250,24.902,7.446
1.187,0.889,4.000,66.345,56.458,-5.676
1.026,0.868,4.000,92.224,77.698,-21.423
0.787,0.862,4.000,118.591,88.867,-39.795
0.503,0.856,4.000,145.142,104.065,-56.885
0.139,0.827,4.000,166.565,126.953,-71.411
-0.220,0.842,4.000,182.007,152.344,-85.327
-0.565,0.846,3.893,200.195,180.054,-94.666
-0.898,0.902,3.503,220.825,211.609,-98.572
-1.181,0.908,3.107,236.145,231.628,-97.778
-1.462,0.939,2.750,246.826,229.187,-99.243
-1.708,1.036,2.295,259.460,219.360,-96.191
-1.956,1.052,1.744,282.166,222.534,-79.529
-2.067,1.072,1.234,300.293,236.511,-59.875
-2.171,1.094,0.731,308.472,235.840,-50.720
-2.205,1.137,0.251,311.096,214.478,-48.157
-2.094,1.271,-0.257,311.768,183.105,-38.757
-1.853,1.380,-0.865,315.552,152.588,-12.634
-1.622,1.503,-1.583,319.641,132.690,10.193
-1.371,1.632,-2.316,314.758,126.160,23.804
-1.118,1.647,-3.077,307.312,124.573,35.034
-1.007,1.534,-3.830,291.016,122.437,33.997
-0.877,1.367,-4.000,259.644,117.737,31.006
-0.753,1.265,-4.000,214.600,107.422,24.475
-0.713,1.158,-4.000,159.607,82.214,13.062
-0.778,1.084,-4.000,99.304,31.067,-0.732
-0.916,1.053,-4.000,35.034,-43.579,-12.756
-1.009,1.074,-4.000,-41.260,-128.967,-17.761
-0.899,1.149,-4.000,-117.615,-187.500,-8.301
-0.791,1.286,-4.000,-183.533,-195.740,7.568
-0.820,1.474,-4.000,-243.713,-178.772,18.860
-0.874,1.615,-3.568,-290.955,-172.363,23.865
-1.083,1.828,-2.901,-326.965,-183.594,26.062
-1.342,1.991,-2.202,-357.422,-204.102,26.855
-1.611,2.109,-1.409,-384.216,-226.990,26.978
-1.885,2.248,-0.538,-404.480,-242.065,27.649
-2.043,2.366,0.410,-414.856,-241.028,32.288
-2.087,2.464,1.432,-425.171,-231.689,37.903
-2.062,2.530,2.460,-430.969,-223.328,44.495
-1.971,2.522,3.359,-421.509,-221.497,51.880
-1.920,2.463,3.987,-397.522,-221.436,56.885
-1.863,2.470,4.000,-365.662,-217.529,64.453
-1.338,2.389,4.000,-342.712,-198.486,80.017
-0.686,2.310,4.000,-317.871,-173.401,89.355
-0.138,2.128,4.000,-266.418,-148.987,88.440
0.455,1.891,4.000,-207.336,-120.361,86.853
1.032,1.699,4.000,-152.832,-86.853,80.688
1.521,1.550,4.000,-92.407,-59.265,66.833
1.687,1.410,4.000,-28.992,-43.579,43.884
1.611,1.308,4.000,28.381,-27.466,19.287
1.522,1.250,4.000,72.815,-5.493,-0.793
1.444,1.219,4.000,107.361,20.020,-16.052
1.233,1.193,4.000,140.625,48.218,-31.677
0.872,1.189,4.000,168.152,75.073,-49.255
0.490,1.166,4.000,193.970,96.924,-67.322
0.155,1.199,4.000,218.689,118.835,-82.397
-0.247,1.224,4.000,242.676,138.184,-97.351
-0.648,1.258,3.854,265.991,158.630,-112.183
-1.009,1.305,3.455,284.485,184.631,-113.770
-1.642,1.476,2.500,316.345,231.445,-116.760
-1.896,1.582,1.948,329.163,248.657,-111.145
-2.077,1.578,1.359,347.473,261.902,-90.881
-2.117,1.611,0.775,356.262,261.292,-72.083
-2.029,1.588,0.206,362.915,236.877,-60.059
-1.939,1.575,-0.566,371.399,195.801,-55.481
-1.747,1.602,-1.395,370.117,159.729,-56.396
-1.527,1.748,-2.193,349.304,132.263,-53.833
-1.462,1.769,-3.030,324.768,112.061,-32.349
-1.338,1.615,-3.769,308.472,114.441,-9.155
-1.307,1.613,-4.000,278.748,119.934,-1.953
-1.209,1.355,-4.000,242.920,109.192,10.254
-1.107,1.251,-4.000,199.158,62.683,13.916
-1.022,1.118,-4.000,154.602,-5.615,9.766
-0.966,1.020,-4.000,102.661,-58.105,6.958
-0.917,0.967,-4.000,23.499,-87.036,8.850
-0.841,1.041,-4.000,-73.792,-97.046,14.893
-0.769,1.187,-4.000,-160.095,-97.046,23.193
-0.710,1.347,-4.000,-222.534,-105.957,30.640
-0.691,1.522,-3.581,-269.348,-125.732,34.058
-0.768,1.690,-2.880,-309.692,-150.513,31.372
-0.814,1.849,-2.243,-344.116,-175.842,26.733
-0.920,1.978,-1.632,-367.920,-197.205,22.522
-1.175,2.073,-0.988,-384.521,-213.562,14.282
-1.541,2.210,-0.314,-402.527,-225.403,8.850
-1.831,2.341,0.424,-410.706,-224.976,13.428
-1.995,2.455,1.328,-416.565,-216.980,25.757
-1.898,2.530,2.577,-426.941,-204.895,40.710
-1.675,2.530,3.919,-426.636,-190.552,54.199
-1.508,2.378,4.000,-398.621,-185.059,60.425
-1.199,2.114,4.000,-346.375,-185.913,66.040
-0.832,1.882,4.000,-297.913,-180.664,66.895
-0.588,1.694,4.000,-248.718,-166.931,61.890
-0.193,1.496,4.000,-206.238,-139.526,61.829
0.310,1.351,4.000,-172.546,-103.088,63.782
0.697,1.237,4.000,-127.258,-70.801,62.683
1.028,1.131,4.000,-79.956,-43.884,57.861
1.295,1.050,4.000,-42.297,-19.592,47.668
1.490,0.988,4.000,-4.272,7.507,35.095
1.647,0.944,4.000,31.433,38.330,17.090
1.582,0.941,4.000,73.059,60.364,-7.690
1.329,0.895,4.000,119.690,68.726,-34.790
1.014,0.872,4.000,156.311,68.970,-61.523
0.626,0.875,4.000,187.317,72.021,-83.618
0.171,0.855,3.770,209.595,85.693,-96.680
-0.275,0.834,3.342,222.412,112.610,-107.239
-0.536,0.877,3.048,230.042,142.639,-112.244
-0.820,0.881,2.702,241.089,158.630,-107.666
-1.074,0.888,2.308,251.648,165.222,-107.971
-1.315,0.902,1.917,259.521,181.274,-103.699
-1.463,0.915,1.526,269.653,207.153,-90.271
-1.527,0.900,1.146,277.466,227.356,-70.801
-1.542,0.878,0.781,281.311,225.403,-52.612
-1.494,0.826,0.427,280.762,200.867,-42.297
-1.476,0.729,0.018,274.353,169.189,-36.560
-1.393,0.663,-0.331,260.559,146.423,-35.828
-1.274,0.613,-0.521,233.582,130.066,-35.217
-1.125,0.648,-0.625,204.590,118.103,-19.531
-0.953,0.513,-0.818,192.444,116.089,6.165
-0.827,0.482,-1.116,184.021,133.484,17.395
-0.685,0.455,-1.258,166.077,168.091,19.775
-0.529,0.444,-1.445,154.053,202.087,25.940
-0.475,0.499,-1.768,152.710,211.487,24.170
-0.444,0.520,-2.129,152.100,188.721,17.883
-0.482,0.560,-2.650,142.944,141.968,7.751
-0.573,0.576,-3.102,120.117,95.520,3.662
-0.637,0.508,-3.240,74.951,54.565,5.066
-0.699,0.499,-3.169,17.578,11.841,4.272
-0.745,0.501,-2.955,-30.762,-25.452,4.211
-0.727,0.537,-2.847,-63.049,-49.622,7.874
-0.778,0.569,-2.867,-75.317,-54.749,16.541
-0.853,0.600,-2.859,-86.853,-53.772,25.635
-0.923,0.648,-2.681,-110.291,-64.758,33.142
-0.994,0.721,-2.393,-133.362,-87.219,39.795
-1.044,0.800,-2.161,-150.330,-113.464,46.814
-1.182,0.872,-2.089,-162.537,-141.541,52.490
-1.326,0.924,-1.905,-181.885,-166.443,57.312
-1.437,0.977,-1.546,-210.266,-187.134,61.829
-1.455,1.042,-1.134,-231.750,-199.768,66.711
-1.411,1.106,-0.647,-243.835,-203.247,73.242
-1.325,1.140,-0.013,-254.028,-204.773,77.332
-1.237,1.188,0.802,-264.038,-210.632,76.599
-1.045,1.213,1.664,-264.343,-220.947,73.730
-0.800,1.205,2.298,-250.732,-238.708,70.007
